artigoEmPeriodico	 	2023		http://dx.doi.org/10.1016/j.surfin.2023.103397	Comprehensive experimental and theoretical studies on the synthesis and characterization of electrodeposited nanostructured Cu2O thin films	SURFACES AND INTERFACES	GONÇALVES, CRISTIANE B. ; SILVA, RAFAEL T. ; DALENOGARE, GUSTAVO ; GONZAGA, ISABELLE M.D. ; MASCARO, LUCIA H. ; FERRER, MATEUS M. ; ASSIS, MARCELO ; LONGO, ELSON ; CARVALHO, HUGO B. ; DORIGUETTO, ANTÔNIO C.	A2	
artigoEmPeriodico	 	2023		http://dx.doi.org/10.1016/j.jallcom.2023.168840	Magnetization of Zn1−Co O nanoparticles: single-ion anisotropy and spin clustering	JOURNAL OF ALLOYS AND COMPOUNDS	GRATENS, X. ; DE ABREU SILVA, B. ; BERNARDI, M.I.B. ; DE CARVALHO, H.B. ; FRANCO JR., A. ; CHITTA, V.A.	A1	
artigoEmPeriodico	 	2023		http://dx.doi.org/10.1016/j.actamat.2023.119258	On the vibrational properties of transition metal doped ZnO: surface, defect, and bandgap engineering	ACTA MATERIALIA	LAGE, VIVIANE M.A. ; RODRÍGUEZ-FERNÁNDEZ, CARLOS ; VIEIRA, FELIPE S. ; DA SILVA, RAFAEL T. ; BERNARDI, MARIA INÊS B. ; LIMA JR, MAURÍCIO M DE ; CANTARERO, ANDRÉS ; DE CARVALHO, HUGO B.	A1	
artigoEmPeriodico	 	2023		http://dx.doi.org/10.2174/1570178620666230811122313	In-Silico Identification of Dexamethasone-similar Compounds Against SARS-Cov-2 Spike Protein: A Drug Repurposing Approach	LETTERS IN ORGANIC CHEMISTRY	PATHAK, YAMINI ; TRIPATHI, VISHWAS ; Camps, Ihosvany ; QAIS, FAIZAN ABUL ; MISHRA, AMARESH	Qualis nao identificado	LETTERS IN ORGANIC CHEMISTRY
artigoEmPeriodico	 	2023		http://dx.doi.org/10.1088/1402-4896/acbdc8	Revisiting semiconductor bulk hamiltonians using quantum computers	PHYSICA SCRIPTA,	PIMENTA, RAPHAEL CÉSAR DE SOUZA ; BEZERRA, Anibal Thiago	A4	PHYSICA SCRIPTA
artigoEmPeriodico	 	2023		http://dx.doi.org/10.5281/zenodo.10095190	Estudo da Relatividade Especial com simulação computacional gráfica	Revista Brasileira de Física	SILVA, P. A. ; SOLTAU, S. B.	B2	REVISTA BRASILEIRA DE GEOFÍSICA
artigoEmPeriodico	 	2022		http://dx.doi.org/10.33448/rsd-v11i5.28437	Filme Interestelar e Sala de Aula Invertida: uma proposta para ensinar relatividade geral e buracos negros no Ensino Médio	RESEARCH, SOCIETY AND DEVELOPMENT	ALMEIDA, J. R. ; SOLTAU, S. B.	C	
artigoEmPeriodico	 	2022		http://dx.doi.org/10.33448/rsd-v11i10.33468	Simulação da trajetória e magnitude de meteoroides de pequena massa	RESEARCH, SOCIETY AND DEVELOPMENT	BRUZIGUES, CHRISTIAN ANDRADE ; SOLTAU, SAMUEL BUENO	C	
artigoEmPeriodico	 	2022		http://dx.doi.org/10.1016/j.jmst.2022.07.038	A comprehensive study on the processing of Co:ZnO nanostructured ceramics: Defect chemistry engineering and grain growth kinetics	JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY	DA SILVA, R.T. ; MORBEC, J.M. ; RAHMAN, G. ; DE CARVALHO, H.B.	Qualis nao identificado	JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY
artigoEmPeriodico	 	2022		http://dx.doi.org/10.17648/acta.scientiae.7247	The Construction of the Tower of Pisa as a Basis for Problem-Solving in the Exact Sciences and the Use of Interdisciplinarity in Teaching	REVISTA ACTA SCIENTIAE	FARIA, L. C. S. ; TREVISAN, K. ; R. Bretas ; Camps, I. ; AVERSI-FERREIRA, T. A.	A2	
artigoEmPeriodico	 	2022		http://dx.doi.org/10.1007/s11030-022-10584-5	Subtractive sequence analysis aided druggable targets mining in Burkholderia cepacia complex and finding inhibitors through bioinformatics approach	MOLECULAR DIVERSITY	HASSAN, SYED SHAH ; SHAMS, RIDA ; Camps, Ihosvany ; BASHARAT, ZARRIN ; SOHAIL, SAMAN ; KHAN, YASMIN ; ULLAH, ASAD ; IRFAN, MUHAMMAD ; ALI, JAVED ; BILAL, MUHAMMAD ; MOREL, CARLOS M.	A3	
artigoEmPeriodico	 	2022		http://dx.doi.org/10.22161/2456-1908	Astronomy as a Tool for Learning the laws of Physics: Theory of Conceptual fields by Vergnaud	INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE	IRINEU, J. E. O. ; Artur Justiniano Roberto Junior ; OLIVEIRA, A. J. S. ; OLIVEIRA, C. B. M.	C	
artigoEmPeriodico	 	2022		http://dx.doi.org/10.1021/acs.jpcc.1c10655	Al-Au Thin Films for Thermally Stable and Highly Sensitive Plasmonic Sensors	Journal of Physical Chemistry C	KREIDER, MOLLY KATE ; REHAN, ABDUL QADEER ; KENT, ROBERT. M. ; BEZERRA, ANIBAL T. ; REBELLO SOUSA DIAS, MARIAMA	A1	
artigoEmPeriodico	 	2022		http://dx.doi.org/10.33448/rsd-v11i8.31247	Relatividade geral no Ensino Médio: uma revisão de literatura	RESEARCH, SOCIETY AND DEVELOPMENT	MARQUES, LUCAS VINÍCIUS ; SOLTAU, SAMUEL BUENO	C	
artigoEmPeriodico	 	2022		http://dx.doi.org/10.2174/1570180819666220401142351	Triamcinolone as a potential inhibitor of SARS-CoV-2 main protease and cytokine storm: An in-silico study	Letters in Drug Design & Discovery	MISHRA, AMARESH ; QAIS, FAIZAN ABUL ; PATHAK, YAMINI ; Camps, Ihosvany ; TRIPATHI, VISHWAS	B1	
artigoEmPeriodico	 	2022		http://dx.doi.org/10.1016/j.mseb.2022.115702	Preparation and characterization of palladium-doped titanium dioxide for solar cell applications	Materials Science and Engineering B-Advanced Functional Solid-State Materials	OLIVEIRA, A.F. ; SILVA, S.A.M. ; RUBINGER, C.P. ; IDER, J. ; RUBINGER, R.M. ; OLIVEIRA, E.T.M. ; DORIGUETTO, A.C. ; CARVALHO, H.B. DE	Qualis nao identificado	MATERIALS SCIENCE AND ENGINEERING B-ADVANCED FUNCTIONAL SOLID-STATE MATERIALS
artigoEmPeriodico	 	2022		http://dx.doi.org/10.5281/zenodo.6787989	Análise da contribuição do som para a energia dissipativa em uma colisão inelástica	Revista Brasileira de Física	OLIVEIRA, R. P. R. ; SOLTAU, S. B.	B2	REVISTA BRASILEIRA DE GEOFÍSICA
artigoEmPeriodico	 	2022		http://dx.doi.org/10.2174/1570180819666220622085659	Attacking the SARS-CoV-2 replication machinery with the Pathogen Box?s molecules	Letters in Drug Design & Discovery	OSORIO-MOGOLLÓN, CLEIDY ; OLIVOS-RAMÍREZ, GUSTAVO E. ; OTAZU, KEWIN ; CHENET-ZUTA, MANUEL E. ; ROPÓN-PALACIOS, GEORCKI ; DORES AGUIAR, CINTHIA DAS ; Camps, Ihosvany ; JIMENEZ-AVALOS, GABRIEL M. ; APARI-COSSIO, EDUARDO ; TORRES MOREIRA, NATALIA E. ; CÁRDENAS-CÁRDENAS, REYNA G.	B1	
artigoEmPeriodico	 	2022		http://dx.doi.org/10.1007/s11030-022-10561-y	Targeting notch signaling pathway in breast cancer stem cells through drug repurposing approach	MOLECULAR DIVERSITY	PATHAK, YAMINI ; Camps, Ihosvany ; MISHRA, AMARESH ; TRIPATHI, VISHWAS	A3	
artigoEmPeriodico	 	2022		http://dx.doi.org/10.1016/j.compbiolchem.2022.107668	Glycosylation is key for enhancing drug recognition into spike glycoprotein of SARS-CoV-2	COMPUTATIONAL BIOLOGY AND CHEMISTRY	ROPÓN-PALACIOS, GEORCKI ; PÉREZ-SILVA, JHON ; ROJAS-HUMPIRE, RICARDO ; OLIVOS-RAMÍREZ, GUSTAVO E. ; CHENET-ZUTA, MANUEL ; CORNEJO-VILLANUEVA, VICTOR ; CARMEN-SIFUENTES, SHEYLA ; OTAZU, KEWIN ; RAMIREZ-DÍAZ, YARITZA L. ; CHOZO, KAROLYN VEGA ; Camps, Ihosvany	A3	
artigoEmPeriodico	 	2022		http://dx.doi.org/10.26512/rpf.v6i1.40844	Constelações em sua mesa: uma proposta de ensino de astronomia utilizando maquetes	Revista do Professor de Física,	SILVA, L. M. F. ; PIMENTA, R. C. S. ; FARIA, L. C. S. ; DAVID, F. F. S. ; Artur Justiniano	C	REVISTA DO PROFESSOR DE FÍSICA
