artigoEmPeriodico	Eder Martioli	2024		http://dx.doi.org/10.1051/0004-6361/202449608	Probing atmospheric escape through metastable He I triplet lines in 15 exoplanets observed with SPIRou	ASTRONOMY & ASTROPHYSICS	MASSON, A. ; VINATIER, S. ; BÉZARD, B. ; LÓPEZ-PUERTAS, M. ; LAMPÓN, M. ; DEBRAS, F. ; Carmona, A. ; KLEIN, B. ; ARTIGAU, E. ; DETHIER, W. ; PELLETIER, S. ; HOOD, T. ; ALLART, R. ; BOURRIER, V. ; CADIEUX, C. ; CHARNAY, B. ; COWAN, N. B. ; COOK, N. J. ; DELFOSSE, X. ; MARTIOLI, E.	A1	
artigoEmPeriodico	Eder Martioli	2024		http://dx.doi.org/10.1051/0004-6361/202348879	Atmospherix	ASTRONOMY & ASTROPHYSICS	HOOD, THEA ; DEBRAS, FLORIAN ; MOUTOU, CLAIRE ; KLEIN, BAPTISTE ; TREMBLIN, PASCAL ; PARMENTIER, VIVIEN ; CARMONA, ANDRES ; MEECH, ANNABELLA ; VÉNOT, OLIVIA ; MASSON, ADRIEN ; PETIT, PASCAL ; VINATIER, SANDRINE ; Martioli, Eder ; KIEFER, FLAVIEN ; TURBET, MARTIN	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1051/0004-6361/202245129	A sub-Neptune planet around TOI-1695 discovered and characterized with SPIRou and TESS	ASTRONOMY & ASTROPHYSICS	KIEFER, F. ; Hébrard, G. ; MARTIOLI, E. ; ARTIGAU, E. ; Doyon, R. ; Donati, J.-F. ; CADIEUX, C. ; Carmona, A. ; CIARDI, D. R. ; CRISTOFARI, P. I. ; DE ALMEIDA, L. ; Figueira, P. ; GAIDOS, E. ; GONZALES, E. ; LECAVELIER DES ETANGS, A. ; STASSUN, K. G. ; ARNOLD, L. ; BENNEKE, B. ; Boisse, I. ; Bonfils, X.	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1051/0004-6361/202345839	The SPIRou legacy survey	ASTRONOMY & ASTROPHYSICS	Fouqué, P. ; MARTIOLI, E. ; Donati, J.-F. ; LEHMANN, L. T. ; ZAIRE, B. ; BELLOTTI, S. ; GAIDOS, E. ; Morin, J. ; MOUTOU, C. ; PETIT, P. ; Alencar, S. H. P. ; ARNOLD, L. ; ARTIGAU, É. ; CANG, T.-Q. ; Carmona, A. ; COOK, N. J. ; CORTÉS-ZULETA, P. ; CRISTOFARI, P. I. ; DELFOSSE, X. ; Doyon, R.	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1093/mnras/stad865	Constraining atmospheric parameters and surface magnetic fields with : an application to SPIRou spectra	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	CRISTOFARI, P I ; DONATI, J-F ; FOLSOM, C P ; MASSERON, T ; FOUQUÉ, P ; MOUTOU, C ; ARTIGAU, E ; CARMONA, A ; PETIT, P ; DELFOSSE, X ; MARTIOLI, E	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1051/0004-6361/202245131	Optical and near-infrared stellar activity characterization of the early M dwarf Gl 205 with SOPHIE and SPIRou	ASTRONOMY & ASTROPHYSICS	CORTÉS-ZULETA, P. ; Boisse, I. ; KLEIN, B. ; MARTIOLI, E. ; CRISTOFARI, P. I. ; ANTONIADIS-KARNAVAS, A. ; Donati, J.-F. ; DELFOSSE, X. ; CADIEUX, C. ; HEIDARI, N. ; ARTIGAU, É. ; BELLOTTI, S. ; Bonfils, X. ; Carmona, A. ; COOK, N. J. ; DÍAZ, R. F. ; Doyon, R. ; Fouqué, P. ; MOUTOU, C. ; PETIT, P.	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1093/mnras/stad1247	CO or no CO? Narrowing the CO abundance constraint and recovering the H2O detection in the atmosphere of WASP-127-b using SPIRou	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	BOUCHER, ANNE ; LAFRENIÉRE, DAVID ; PELLETIER, STEFAN ; DARVEAU-BERNIER, ANTOINE ; RADICA, MICHAEL ; ALLART, ROMAIN ; ARTIGAU, ÉTIENNE ; COOK, NEIL J ; DEBRAS, FLORIAN ; DOYON, RENÉ ; GAIDOS, ERIC ; BENNEKE, BJÖRN ; CADIEUX, CHARLES ; CARMONA, ANDRES ; CLOUTIER, RYAN ; CORTÉS-ZULETA, PÍA ; COWAN, NICOLAS B ; DELFOSSE, XAVIER ; DONATI, JEAN-FRANÇOIS ; MARTIOLI, E.	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1051/0004-6361/202245660	Near-IR and optical radial velocities of the active M dwarf star Gl 388 (AD Leo) with SPIRou at CFHT and SOPHIE at OHP	ASTRONOMY & ASTROPHYSICS	Carmona, A. ; DELFOSSE, X. ; BELLOTTI, S. ; CORTÉS-ZULETA, P. ; OULD-ELHKIM, M. ; HEIDARI, N. ; MIGNON, L. ; DONATI, J. F. ; MOUTOU, C. ; COOK, N. ; ARTIGAU, E. ; Fouqué, P. ; MARTIOLI, E. ; CADIEUX, C. ; Morin, J. ; FORVEILLE, T. ; Boisse, I. ; Hébrard, G. ; DÍAZ, R. F. ; LAFRENIÈRE, D.	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1093/mnras/stad1319	Two warm Neptunes transiting HIP-9618 revealed by and	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	OSBORN, H P ; NOWAK, G ; HÉBRARD, G ; MASSERON, T ; LILLO-BOX, J ; PALLÉ, E ; BEKKELIEN, A ; FLORÉN, H-G ; GUTERMAN, P ; SIMON, A E ; ADIBEKYAN, V ; BIERYLA, A ; BORSATO, L ; BRANDEKER, A ; CIARDI, D R ; COLLIER CAMERON, A ; COLLINS, K A ; EGGER, J A ; GANDOLFI, D ; MARTIOLI, E.	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1051/0004-6361/202346472	Wapiti: A data-driven approach to correct for systematics in RV data	ASTRONOMY & ASTROPHYSICS	OULD-ELHKIM, M. ; MOUTOU, C. ; Donati, J.-F. ; ARTIGAU, É. ; Fouqué, P. ; COOK, N.J. ; Carmona, A. ; CRISTOFARI, P. I. ; MARTIOLI, E. ; DEBRAS, F. ; DUMUSQUE, X. ; MARTINS, J. H. C. ; Hébrard, G. ; CADIEUX, C. ; DELFOSSE, X. ; Doyon, R. ; KLEIN, B. ; GOMES DA SILVA, J. ; FORVEILLE, T. ; HOOD, T.	A1	
