ISSN	Título	Estrato	Classificação
2316-8412	CADERNOS DO LEPAARQ (UFPEL)	A2	Atualizado
1809-9475	CADERNOS UNIFOA	B3	Atualizado
2175-4217	CAMINE: CAMINHOS DA EDUCAÇÃO	B1	Atualizado
1983-7399	CAMINHOS DA EDUCAÇÃO MATEMÁTICA EM REVISTA	A4	Atualizado
2358-4750	CAMINHOS DA EDUCAÇÃO MATEMÁTICA EM REVISTA (ON-LINE)	A4	Atualizado
0008-4166	CANADIAN JOURNAL OF MICROBIOLOGY (PRINT)	B1	Atualizado
0008-4204	CANADIAN JOURNAL OF PHYSICS (PRINT)	B1	Atualizado
1073-2748	CANCER CONTROL	A4	Atualizado
1176-9351	CANCER INFORMATICS	B2	Atualizado
2072-6694	CANCERS (BASEL) (ONLINE)	A3	Atualizado
0144-8617	CARBOHYDRATE POLYMERS	A1	Atualizado
2233-4998	CARBON LETTERS (ONLINE)	A4	Atualizado
0008-6223	CARBON (NEW YORK)	A1	Atualizado
1947-6035	CARTILAGE	A1	Atualizado
2214-5095	CASE STUDIES IN CONSTRUCTION MATERIALS	A2	Atualizado
1011-372X	CATALYSIS LETTERS	A2	Atualizado
2044-4753	CATALYSIS SCIENCE & TECHNOLOGY	A2	Atualizado
0920-5861	CATALYSIS TODAY (PRINT)	A1	Atualizado
2073-4344	CATALYSTS	A4	Atualizado
0341-8162	CATENA (CREMLINGEN)	A1	Atualizado
0923-2958	CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY	A2	Atualizado
1389-9333	CELL AND TISSUE BANKING	A4	Atualizado
2451-9456	CELL CHEMICAL BIOLOGY	A1	Atualizado
2073-4409	CELLS	A3	Atualizado
1422-6405	CELLS TISSUES ORGANS	A3	Atualizado
1462-5814	CELLULAR MICROBIOLOGY (PRINT)	A2	Atualizado
1572-882X	CELLULOSE	A1	Atualizado
0969-0239	CELLULOSE (LONDON)	A1	Atualizado
0008-8846	CEMENT AND CONCRETE RESEARCH	A1	Atualizado
2595-4881	CENAS EDUCACIONAIS	B1	Atualizado
1644-3608	CENTRAL EUROPEAN JOURNAL OF PHYSICS	C	Atualizado
1042-1122	CERAMIC TRANSACTIONS	B3	Atualizado
1678-4553	CERÂMICA	B1	Atualizado
0366-6913	CERÂMICA (SÃO PAULO. IMPRESSO)	B1	Atualizado
2571-6131	CERAMICS	B2	Atualizado
0272-8842	CERAMICS INTERNATIONAL	A1	Atualizado
1873-2887	CHAOS, SOLITONS & FRACTALS (ONLINE)	A1	Atualizado
0960-0779	CHAOS, SOLITONS AND FRACTALS	A1	Atualizado
1054-1500	CHAOS (WOODBURY, N.Y.)	A1	Atualizado
1089-7682	CHAOS (WOODBURY, N.Y. ONLINE)	A1	Atualizado
1809-127X	CHECK LIST	B2	Atualizado
1071-8443	CHELONIAN CONSERVATION AND BIOLOGY	B1	Atualizado
1439-7633	CHEMBIOCHEM (ONLINE)	A3	Atualizado
1867-3899	CHEMCATCHEM	A1	Atualizado
1867-3880	CHEMCATCHEM	A1	Atualizado
2196-0216	CHEMELECTROCHEM	A3	Atualizado
2689-1050	CHEMICAL & PHARMACEUTICAL RESEARCH	C	Atualizado
1747-0277	CHEMICAL BIOLOGY & DRUG DESIGN (PRINT)	A4	Atualizado
1359-7345	CHEMICAL COMMUNICATIONS (LONDON. 1996. PRINT)	A1	Atualizado
0098-6445	CHEMICAL ENGINEERING COMMUNICATIONS (PRINT)	A3	Atualizado
1385-8947	CHEMICAL ENGINEERING JOURNAL (1996)	A1	Atualizado
0009-2509	CHEMICAL ENGINEERING SCIENCE	A1	Atualizado
2283-9216	CHEMICAL ENGINEERING TRANSACTIONS	B2	Atualizado
0009-2541	CHEMICAL GEOLOGY	A1	Atualizado
0366-6352	CHEMICAL PAPERS (PRINT)	A4	Atualizado
0009-2614	CHEMICAL PHYSICS LETTERS (PRINT)	A3	Atualizado
0301-0104	CHEMICAL PHYSICS (PRINT)	A4	Atualizado
0009-2665	CHEMICAL REVIEWS	A1	Atualizado
2041-6539	CHEMICAL SCIENCE	A1	Atualizado
2041-6520	CHEMICAL SCIENCE: A NEW JOURNAL FOR FINDINGS OF EXCEPTIONAL SIGNIFICANCE FROM ACROSS THE CHEMICAL SCIENCES	A1	Atualizado
2456-706X	CHEMICAL SCIENCE INTERNATIONAL JOURNAL	C	Atualizado
0009-2797	CHEMICO-BIOLOGICAL INTERACTIONS (PRINT)	A2	Atualizado
0947-6539	CHEMISTRY - A EUROPEAN JOURNAL	A1	Atualizado
1612-1872	CHEMISTRY & BIODIVERSITY (PRINT)	A4	Atualizado
0009-3084	CHEMISTRY AND PHYSICS OF LIPIDS (PRINT)	A3	Atualizado
0897-4756	CHEMISTRY OF MATERIALS	A1	Atualizado
1521-3765	CHEMISTRY (WEINHEIM. INTERNET)	A1	Atualizado
2191-1363	CHEMISTRYOPEN	A4	Atualizado
2365-6549	CHEMISTRYSELECT	A4	Atualizado
2199-692X	CHEMNANOMAT	A2	Atualizado
2227-9040	CHEMOSENSORS	A4	Atualizado
0045-6535	CHEMOSPHERE (OXFORD)	A1	Atualizado
2367-0932	CHEMPHOTOCHEM	B1	Atualizado
1439-7641	CHEMPHYSCHEM	A2	Atualizado
1439-4235	CHEMPHYSCHEM (PRINT)	A2	Atualizado
1864-564X	CHEMSUSCHEM	A1	Atualizado
1864-5631	CHEMSUSCHEM (WEINHEIM. PRINT)	A1	Atualizado
1000-9361	CHINESE JOURNAL OF AERONAUTICS	A2	Atualizado
0256-7679	CHINESE JOURNAL OF POLYMER SCIENCE	A2	Atualizado
1671-7694	CHINESE OPTICS LETTERS	B1	Atualizado
1674-1056	CHINESE PHYSICS B	B1	Atualizado
1674-1137	CHINESE PHYSICS C, HIGH ENERGY PHYSICS AND NUCLEAR PHYSICS	A3	Atualizado
0256-307X	CHINESE PHYSICS LETTERS	B1	Atualizado
2594-6412	CIDADANIA EM AÇÃO: REVISTA DE EXTENSÃO E CULTURA	B1	Atualizado
1980-850X	CIÊNCIA & EDUCAÇÃO	A1	Atualizado
1678-4561	CIÊNCIA & SAÚDE COLETIVA	A1	Atualizado
2358-0763	CIÊNCIA DA INFORMAÇÃO EM REVISTA	B1	Atualizado
2177-6830	CIÊNCIA DA MADEIRA	B4	Atualizado
0009-6725	CIÊNCIA E CULTURA	A1	Atualizado
1516-7313	CIÊNCIA E EDUCAÇÃO (UNESP. IMPRESSO)	A1	Atualizado
1413-8123	CIÊNCIA E SAÚDE COLETIVA (IMPRESSO)	A1	Atualizado
1678-457X	CIENCIA E TECNOLOGIA DE ALIMENTOS	B1	Atualizado
0870-8312	CIÊNCIA E TECNOLOGIA DOS MATERIAIS	B1	Atualizado
1980-5098	CIÊNCIA FLORESTAL (ONLINE)	B2	Atualizado
1413-7461	CIÊNCIA GEOGRÁFICA	B1	Atualizado
2178-1826	CIÊNCIAS EM FOCO	B2	Atualizado
0264-9381	CLASSICAL AND QUANTUM GRAVITY (PRINT)	A1	Atualizado
2666-7908	CLEANER ENGINEERING AND TECHNOLOGY	C	Atualizado
0930-7575	CLIMATE DYNAMICS	A1	Atualizado
2057-4347	CLINICAL AND EXPERIMENTAL DENTAL RESEARCH	B2	Atualizado
1198-743X	CLINICAL MICROBIOLOGY AND INFECTION (PRINT)	A1	Atualizado
0303-8467	CLINICAL NEUROLOGY AND NEUROSURGERY (DUTCH-FLEMISH ED.)	A3	Atualizado
1432-6981	CLINICAL ORAL INVESTIGATIONS	A1	Atualizado
1436-3771	CLINICAL ORAL INVESTIGATIONS (INTERNET)	A1	Atualizado
2212-8166	CLINICAL PLASMA MEDICINE	A3	Atualizado
0143-5221	CLINICAL SCIENCE (1979)	A1	Atualizado
1807-5932	CLINICS (USP, IMPRESSO)	A4	Atualizado
0102-6003	CLIO ARQUEOLÓGICA	B1	Atualizado
2079-6412	COATINGS	A4	Atualizado
1389-0417	COGNITIVE SYSTEMS RESEARCH	A4	Atualizado
2215-0382	COLLOID AND INTERFACE SCIENCE COMMUNICATIONS	A3	Atualizado
0303-402X	COLLOID AND POLYMER SCIENCE (PRINT)	A3	Atualizado
2504-5377	COLLOIDS AND INTERFACES	B2	Atualizado
0927-7757	COLLOIDS AND SURFACES. A, PHYSICOCHEMICAL AND ENGINEERING ASPECTS (PRINT)	A2	Atualizado
0927-7765	COLLOIDS AND SURFACES. B, BIOINTERFACES (PRINT)	A2	Atualizado
1809-8207	COLLOQUIUM HUMANARUM	A4	Atualizado
2526-2882	COM A PALAVRA, O PROFESSOR	B1	Atualizado
0010-2180	COMBUSTION AND FLAME	A1	Atualizado
2399-3642	COMMUNICATIONS BIOLOGY	A2	Atualizado
2399-3669	COMMUNICATIONS CHEMISTRY	A3	Atualizado
1303-6009	COMMUNICATIONS FACULTY OF SCIENCES UNIVERSITY OF ANKARA. SERIES A2-A3: PHYSICS, ENGINEERIGNG PHYSICS, ELECTRONIC ENGINEERING AND ASTRONOMY	C	Atualizado
0010-3616	COMMUNICATIONS IN MATHEMATICAL PHYSICS	A1	Atualizado
1007-5704	COMMUNICATIONS IN NONLINEAR SCIENCE & NUMERICAL SIMULATION	A1	Atualizado
0010-3624	COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	B1	Atualizado
0253-6102	COMMUNICATIONS IN THEORETICAL PHYSICS	A4	Atualizado
2399-3650	COMMUNICATIONS PHYSICS	A1	Atualizado
1532-0456	COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY. C. TOXICOLOGY & PHARMACOLOGY	A1	Atualizado
0965-2299	COMPLEMENTARY THERAPIES IN MEDICINE	A2	Atualizado
0891-2513	COMPLEX SYSTEMS	B3	Atualizado
1076-2787	COMPLEXITY (NEW YORK, N.Y.)	A1	Atualizado
1359-835X	COMPOSITES. PART A, APPLIED SCIENCE AND MANUFACTURING	A1	Atualizado
1359-8368	COMPOSITES. PART B, ENGINEERING	A1	Atualizado
0266-3538	COMPOSITES SCIENCE AND TECHNOLOGY	A1	Atualizado
1807-0302	COMPUTATIONAL & APPLIED MATHEMATICS	A4	Atualizado
0101-8205	COMPUTATIONAL & APPLIED MATHEMATICS	A4	Atualizado
2238-3603	COMPUTATIONAL AND APPLIED MATHEMATICS	A4	Atualizado
2210-271X	COMPUTATIONAL AND THEORETICAL CHEMISTRY	A4	Atualizado
1476-9271	COMPUTATIONAL BIOLOGY AND CHEMISTRY (PRINT)	A3	Atualizado
2352-2143	COMPUTATIONAL CONDENSED MATTER	A4	Atualizado
0891-2017	COMPUTATIONAL LINGUISTICS	A1	Atualizado
0927-0256	COMPUTATIONAL MATERIALS SCIENCE	A1	Atualizado
2468-1113	COMPUTATIONAL TOXICOLOGY	A4	Atualizado
0169-2607	COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE (PRINT)	A1	Atualizado
0045-7825	COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING	A1	Atualizado
0010-4655	COMPUTER PHYSICS COMMUNICATIONS	A2	Atualizado
0045-7930	COMPUTERS & FLUIDS	A1	Atualizado
0097-8493	COMPUTERS & GRAPHICS	A2	Atualizado
0898-1221	COMPUTERS & MATHEMATICS WITH APPLICATIONS (1987)	A2	Atualizado
0168-1699	COMPUTERS AND ELECTRONICS IN AGRICULTURE	A1	Atualizado
0010-4825	COMPUTERS IN BIOLOGY AND MEDICINE	A2	Atualizado
0166-3615	COMPUTERS IN INDUSTRY	A1	Atualizado
2510-2044	COMPUTING AND SOFTWARE FOR BIG SCIENCE	C	Atualizado
1980-5101	COMUNICAÇÃO EM CIÊNCIAS DA SAÚDE	B2	Atualizado
1546-6086	CONCEPTS IN MAGNETIC RESONANCE. PART A, BRIDGING EDUCATION AND RESEARCH.	B3	Atualizado
2410-3896	CONDENSED MATTER	B4	Atualizado
1607-324X	CONDENSED MATTER PHYSICS	B4	Atualizado
1982-176X	CONEXÕES : CIÊNCIA E TECNOLOGIA	A2	Atualizado
2178-4612	CONJECTURA: FILOSOFIA E EDUCACAO	A3	Atualizado
0950-0618	CONSTRUCTION & BUILDING MATERIALS	A1	Atualizado
2177-4404	CONTEMPORARTES: REVISTA SEMANAL DE DIFUSÃO CULTURAL	B3	Atualizado
2179-1309	CONTEXTO & EDUCAÇÃO	A2	Atualizado
0278-4343	CONTINENTAL SHELF RESEARCH	A2	Atualizado
1521-3986	CONTRIBUTIONS TO PLASMA PHYSICS	B1	Atualizado
0010-8545	COORDINATION CHEMISTRY REVIEWS (PRINT)	A1	Atualizado
0010-8812	CORNELL INTERNATIONAL LAW JOURNAL	A1	Atualizado
0010-9312	CORROSION (HOUSTON, TEX.)	A2	Atualizado
0010-938X	CORROSION SCIENCE	A1	Atualizado
2151-4755	CREATIVE EDUCATION	C	Atualizado
2447-4223	CRÍTICA EDUCATIVA	A4	Atualizado
0011-2275	CRYOGENICS (GUILDFORD)	A4	Atualizado
1528-7483	CRYSTAL GROWTH & DESIGN	A1	Atualizado
2073-4352	CRYSTALS	A3	Atualizado
1466-8033	CRYSTENGCOMM (CAMBRIDGE. ONLINE)	A2	Atualizado
1567-1739	CURRENT APPLIED PHYSICS	A3	Atualizado
0960-9822	CURRENT BIOLOGY	A1	Atualizado
0929-8673	CURRENT MEDICINAL CHEMISTRY	A1	Atualizado
1432-0991	CURRENT MICROBIOLOGY	B1	Atualizado
2213-3356	CURRENT MICROWAVE CHEMISTRY	B4	Atualizado
2214-7993	CURRENT OPINION IN FOOD SCIENCE	A1	Atualizado
2452-2236	CURRENT OPINION IN GREEN AND SUSTAINABLE CHEMISTRY	A1	Atualizado
0959-440X	CURRENT OPINION IN STRUCTURAL BIOLOGY	A1	Atualizado
1381-6128	CURRENT PHARMACEUTICAL DESIGN (PRINT)	A3	Atualizado
1877-9468	CURRENT PHYSICAL CHEMISTRY	C	Atualizado
1934-9262	CURRENT PROTOCOLS IN TOXICOLOGY	B3	Atualizado
1568-0266	CURRENT TOPICS IN MEDICINAL CHEMISTRY (PRINT)	A2	Atualizado
2215-0838	CURRENT TRADITIONAL MEDICINE (PRINT)	B3	Atualizado
2226-4116	CYBERNETICS AND PHYSICS	B1	Atualizado
1552-4922	CYTOMETRY. PART A	A2	Atualizado
1949-3584	CYTOSKELETON	B1	Atualizado
1477-9226	DALTON TRANSACTIONS (2003. PRINT)	A1	Atualizado
2175-6600	DEBATES EM EDUCAÇÃO	A2	Atualizado
1662-9507	DEFECT AND DIFFUSION FORUM	B2	Atualizado
2238-913X	DEMETRA: ALIMENTAÇÃO, NUTRIÇÃO & SAÚDE	B2	Atualizado
0109-5641	DENTAL MATERIALS	A1	Atualizado
2161-1122	DENTISTRY (OPEN ACCESS)	B3	Atualizado
0250-832X	DENTO-MAXILLO-FACIAL RADIOLOGY	A2	Atualizado
2359-3652	DESAFIOS: REVISTA INTERDISCIPLINAR DA UNIVERSIDADE FEDERAL DO TOCANTINS	A4	Atualizado
2176-3070	DESTAQUES ACADÊMICOS	B1	Atualizado
2447-1879	DIÁLOGOS INTERDISCIPLINARES. REVISTA DA FACULDADE CENECISTA DE RIO DAS OSTRAS	C	Atualizado
0925-9635	DIAMOND AND RELATED MATERIALS	A2	Atualizado
2296-3642	DIFFUSION FOUNDATIONS	B2	Atualizado
1051-2004	DIGITAL SIGNAL PROCESSING (PRINT)	A1	Atualizado
2176-462X	DISCIPLINARUM SCIENTIA. SÉRIE CIÊNCIAS NATURAIS E TECNOLÓGICAS	B2	Atualizado
2164-6376	DISCONTINUITY, NONLINEARITY AND COMPLEXITY	B2	Atualizado
1026-0226	DISCRETE DYNAMICS IN NATURE AND SOCIETY	B2	Atualizado
1568-7864	DNA REPAIR (PRINT)	A2	Atualizado
2504-446X	DRONES	A3	Atualizado
2190-393X	DRUG DELIVERY AND TRANSLATIONAL RESEARCH	A2	Atualizado
0363-9045	DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY (PRINT)	A3	Atualizado
1359-6446	DRUG DISCOVERY TODAY	A1	Atualizado
0737-3937	DRYING TECHNOLOGY	A2	Atualizado
1532-2300	DRYING TECHNOLOGY (ON LINE)	A2	Atualizado
0143-7208	DYES AND PIGMENTS	A1	Atualizado
0104-0405	DYNAMIS (BLUMENAU)	A4	Atualizado
1982-4866	DYNAMIS (FURB. ONLINE)	A4	Atualizado
2177-8310	EAD EM FOCO - REVISTA DE EDUCAÇÃO A DISTÂNCIA	A2	Atualizado
0378-3782	EARLY HUMAN DEVELOPMENT	A3	Atualizado
0012-821X	EARTH AND PLANETARY SCIENCE LETTERS	A1	Atualizado
2333-5084	EARTH AND SPACE SCIENCE	A3	Atualizado
1087-3562	EARTH INTERACTIONS	A2	Atualizado
1880-5981	EARTH, PLANETS AND SPACE (ONLINE)	A2	Atualizado
0197-9337	EARTH SURFACE PROCESSES AND LANDFORMS (PRINT)	A1	Atualizado
1866-3516	EARTH SYSTEM SCIENCE DATA	A1	Atualizado
2352-3964	EBIOMEDICINE	A1	Atualizado
2318-8901	E-BOLETIM DA FÍSICA	B2	Atualizado
1678-4618	ECLÉTICA QUÍMICA	B3	Atualizado
1600-0587	ECOGRAPHY	A1	Atualizado
1476-945X	ECOLOGICAL COMPLEXITY (PRINT)	A3	Atualizado
0304-3800	ROYAL	A2	Atualizado
0012-9658	ASTRONOMICAL	A1	Atualizado
1983-1994	ECONOMIA ENSAIOS	B2	Atualizado
2183-1335	E-CONSERVATION JOURNAL	C	Atualizado
0147-6513	ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	A1	Atualizado
2162-8769	ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY	A3	Atualizado
1938-5862	ECS TRANSACTIONS	B1	Atualizado
2359-2087	EDUCA - REVISTA MULTIDISCIPLINAR EM EDUCAÇÃO	B1	Atualizado
2447-5971	EDUCAÇÃO BÁSICA REVISTA	B1	Atualizado
2237-1648	EDUCAÇÃO, CULTURA E SOCIEDADE	B1	Atualizado
1982-6273	EDUCAÇÃO E FRONTEIRAS (UFGD)	A4	Atualizado
2175-6236	EDUCACAO E REALIDADE	A1	Atualizado
0102-4698	EDUCAÇÃO EM REVISTA (UFMG - IMPRESSO)	A1	Atualizado
1982-6621	EDUCAÇÃO EM REVISTA (UFMG - ONLINE)	A1	Atualizado
1517-3941	EDUCAÇÃO MATEMÁTICA EM REVISTA (SÃO PAULO)	A2	Atualizado
1516-5388	EDUCAÇÃO MATEMÁTICA PESQUISA (IMPRESSO)	A1	Atualizado
2594-4827	EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA EM REVISTA	B2	Atualizado
1676-2592	EDUCAÇÃO TEMÁTICA DIGITAL	A1	Atualizado
2358-7504	EDUCAÇÃO,CIÊNCIA E SAÚDE	B3	Atualizado
0187-893X	EDUCACIÓN QUÍMICA	A1	Atualizado
0378-7796	ELECTRIC POWER SYSTEMS RESEARCH (PRINT)	A1	Atualizado
0948-7921	ELECTRICAL ENGINEERING (BERLIN. PRINT)	A3	Atualizado
1521-4109	ELECTROANALYSIS	A3	Atualizado
1040-0397	ELECTROANALYSIS (NEW YORK, N.Y.)	A3	Atualizado
1868-2529	ELECTROCATALYSIS (PRINT)	A4	Atualizado
1388-2481	ELECTROCHEMISTRY COMMUNICATIONS	A2	Atualizado
0013-4686	ELECTROCHIMICA ACTA	A1	Atualizado
2516-1075	ELECTRONIC STRUCTURE	B3	Atualizado
0013-5194	ELECTRONICS LETTERS	A3	Atualizado
0173-0835	ELECTROPHORESIS (WEINHEIM. PRINT)	A3	Atualizado
2391-7407	ELECTROSPINNING	B2	Atualizado
2325-1026	ELEMENTA: SCIENCE OF THE ANTHROPOCENE	A1	Atualizado
0922-3444	ELSEVIER (AMSTERDAM)	C	Atualizado
2526-5792	EM CONSTRUÇÃO	B2	Atualizado
1518-6369	EM EXTENSÃO (UFU)	B2	Atualizado
1808-5245	EM QUESTÃO	A2	Atualizado
1080-6059	EMERGING INFECTIOUS DISEASES (ONLINE)	A1	Atualizado
1540-496X	EMERGING MARKETS FINANCE AND TRADE	A2	Atualizado
2079-0538	EMIRATES JOURNAL OF FOOD AND AGRICULTURE (ONLINE)	A4	Atualizado
2316-9303	E-MOSAICOS REVISTA MULTIDISCIPLINAR DE ENSINO, PESQUISA, EXTENSÃO E CULTURA DO INSTITUTO DE APLICAÇÃO FERNANDO RODRIGUES DA SILVEIRA (CAP-UERJ)	B2	Atualizado
1355-008X	ENDOCRINE (BASINGSTOKE)	A4	Atualizado
1996-1073	ENERGIES (BASEL)	A2	Atualizado
1754-5706	ENERGY & ENVIRONMENTAL SCIENCE (ONLINE)	A1	Atualizado
1520-5029	ENERGY & FUELS (ONLINE)	A1	Atualizado
0887-0624	ENERGY & FUELS (PRINT)	A1	Atualizado
0196-8904	ENERGY CONVERSION AND MANAGEMENT	A1	Atualizado
0360-5442	ENERGY (OXFORD)	A1	Atualizado
2352-4847	ENERGY REPORTS	A2	Atualizado
2194-4296	ENERGY TECHNOLOGY	A2	Atualizado
1809-4457	ENGENHARIA SANITÁRIA E AMBIENTAL (ONLINE)	A4	Atualizado
1676-1790	ENGENHARIA TÉRMICA	B3	Atualizado
1350-6307	ENGINEERING FAILURE ANALYSIS	A2	Atualizado
0013-7952	ENGINEERING GEOLOGY	A1	Atualizado
2577-8196	ENGINEERING REPORTS	C	Atualizado
1983-2117	ENSAIO: PESQUISA EM EDUCAÇÃO EM CIÊNCIAS (ONLINE)	A1	Atualizado
0212-4521	ENSEÑANZA DE LAS CIENCIAS	A1	Atualizado
2174-6486	ENSEÑANZA DE LAS CIENCIAS (ONLINE)	A1	Atualizado
2447-5777	ENSINO & MULTIDISCIPLINARIDADE	B2	Atualizado
2359-4381	ENSINO & PESQUISA	A3	Atualizado
2358-4122	ENSINO DA MATEMÁTICA EM DEBATE	A4	Atualizado
2237-4450	ENSINO DE CIÊNCIAS E TECNOLOGIA EM REVISTA	A4	Atualizado
2594-3901	ENSINO E TECNOLOGIA EM REVISTA	A4	Atualizado
2595-0479	ENSINO EM FOCO (ONLINE)	A4	Atualizado
2675-9144	ENSINO EM PERSPECTIVAS	C	Atualizado
1983-1730	ENSINO EM RE-VISTA	A3	Atualizado
1983-7011	ENSINO, SAÚDE E AMBIENTE	B1	Atualizado
1099-4300	ENTROPY (BASEL. ONLINE)	A2	Atualizado
0160-4120	ENVIRONMENT INTERNATIONAL	A1	Atualizado
1610-3653	ENVIRONMENTAL CHEMISTRY LETTERS (PRINT)	A1	Atualizado
2211-4645	ENVIRONMENTAL DEVELOPMENT	A1	Atualizado
1866-6280	ENVIRONMENTAL EARTH SCIENCES (PRINT)	A2	Atualizado
1462-2912	ENVIRONMENTAL MICROBIOLOGY (PRINT)	A1	Atualizado
1758-2229	ENVIRONMENTAL MICROBIOLOGY REPORTS	A1	Atualizado
1573-2959	ENVIRONMENTAL MONITORING AND ASSESSMENT (DORDRECHT. ONLINE)	A3	Atualizado
0167-6369	ENVIRONMENTAL MONITORING AND ASSESSMENT (PRINT)	A3	Atualizado
2215-1532	ENVIRONMENTAL NANOTECHNOLOGY, MONITORING & MANAGEMENT	A1	Atualizado
0269-7491	ENVIRONMENTAL POLLUTION (1987)	A1	Atualizado
1944-7442	ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY (PRINT)	A3	Atualizado
2515-7620	ENVIRONMENTAL RESEARCH COMMUNICATIONS	B2	Atualizado
1748-9326	ENVIRONMENTAL RESEARCH LETTERS	A1	Atualizado
0013-9351	ENVIRONMENTAL RESEARCH (NEW YORK, N.Y. PRINT)	A1	Atualizado
0013-936X	ENVIRONMENTAL SCIENCE & TECHNOLOGY	A1	Atualizado
2328-8930	ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS	A1	Atualizado
0944-1344	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH INTERNATIONAL	A2	Atualizado
2050-7887	ENVIRONMENTAL SCIENCE: PROCESSES & IMPACTS	A2	Atualizado
0959-3330	ENVIRONMENTAL TECHNOLOGY	A2	Atualizado
2352-1864	ENVIRONMENTAL TECHNOLOGY & INNOVATION	A2	Atualizado
1614-7499	ENVIRONMETAL SCIENCE AND POLLUTION RESEARCH INTERNATIONAL (INTERNET)	A2	Atualizado
0141-0229	ENZYME AND MICROBIAL TECHNOLOGY	A2	Atualizado
1755-4365	EPIDEMICS	A3	Atualizado
2674-757X	EPISTEMOLOGIA E PRÁXIS EDUCATIVA	B3	Atualizado
1286-0042	EPJ. APPLIED PHYSICS (PRINT)	B2	Atualizado
2193-1127	EPJ DATA SCIENCE	A1	Atualizado
1286-4854	EPL (EUROPHYSICS LETTERS)	A3	Atualizado
2539-2522	ESAL - REVISTA DE EDUCACIÓN SUPERIOR EN AMÉRICA LATINA	C	Atualizado
1414-8145	ESCOLA ANNA NERY	B1	Atualizado
0798-1015	ESPACIOS (CARACAS)	C	Atualizado
0104-7469	ESPAÇO PEDAGÓGICO	A3	Atualizado
1806-9592	ESTUDOS AVANÇADOS (USP)	A1	Atualizado
1982-0275	ESTUDOS DE PSICOLOGIA	A1	Atualizado
0103-6831	ESTUDOS EM AVALIAÇÃO EDUCACIONAL (IMPRESSO)	A1	Atualizado
1984-932X	ESTUDOS EM AVALIAÇÃO EDUCACIONAL (ONLINE)	A1	Atualizado
1951-6355	EUR. PHYS. J. SPECIAL TOPICS	A3	Atualizado
2286-4822	EUROPEAN ACADEMIC RESEARCH	C	Atualizado
0175-7571	EUROPEAN BIOPHYSICS JOURNAL	A4	Atualizado
2053-9738	EUROPEAN JOURNAL OF ACADEMIC RESEARCH	C	Atualizado
0959-8049	EUROPEAN JOURNAL OF CANCER	A1	Atualizado
2153-2249	EUROPEAN JOURNAL OF CHEMISTRY	C	Atualizado
1434-1948	EUROPEAN JOURNAL OF INORGANIC CHEMISTRY (PRINT)	A3	Atualizado
1438-9312	EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY (INTERNET)	A2	Atualizado
1438-7697	EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY (PRINT)	A2	Atualizado
0997-7546	EUROPEAN JOURNAL OF MECHANICS. B, FLUIDS	A2	Atualizado
0223-5234	EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY	A1	Atualizado
2231-0894	EUROPEAN JOURNAL OF MEDICINAL PLANTS	B3	Atualizado
0953-816X	EUROPEAN JOURNAL OF NEUROSCIENCE (PRINT)	A4	Atualizado
0909-8836	EUROPEAN JOURNAL OF ORAL SCIENCES	A2	Atualizado
1434-193X	EUROPEAN JOURNAL OF ORGANIC CHEMISTRY (PRINT)	A3	Atualizado
0928-0987	EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES	A1	Atualizado
0939-6411	EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS	A1	Atualizado
1309-7202	EUROPEAN JOURNAL OF PHYSICS EDUCATION	B4	Atualizado
0143-0807	EUROPEAN JOURNAL OF PHYSICS (PRINT)	A3	Atualizado
1078-5884	EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY	A1	Atualizado
1434-6001	EUROPEAN PHYSICAL JOURNAL A. HADRONS AND NUCLEI	A2	Atualizado
1434-6036	EUROPEAN PHYSICAL JOURNAL. B, CONDENSED MATTER AND COMPLEX SYSTEMS (INTERNET)	A4	Atualizado
1434-6052	EUROPEAN PHYSICAL JOURNAL C. PARTICLES AND FIELDS	A2	Atualizado
1434-6044	EUROPEAN PHYSICAL JOURNAL. C, PARTICLES AND FIELDS (PRINT)	A2	Atualizado
2190-5444	EUROPEAN PHYSICAL JOURNAL PLUS	A2	Atualizado
0014-3057	EUROPEAN POLYMER JOURNAL	A1	Atualizado
0295-5075	EUROPHYSICS LETTERS (PRINT)	A3	Atualizado
1558-5646	EVOLUTION	A1	Atualizado
0014-3820	EVOLUTION (LANCASTER, PA.)	A1	Atualizado
