ISSN	Título	Estrato	Classificação
0309-1708	ADVANCES IN WATER RESOURCES	A1	Atualizado
1875-9637	AEOLIAN RESEARCH	A2	Atualizado
2576-4500	AERONAUTICS AND AEROSPACE OPEN ACCESS JOURNAL	C	Atualizado
1680-8584	AEROSOL AND AIR QUALITY RESEARCH	A2	Atualizado
0278-6826	AEROSOL SCIENCE AND TECHNOLOGY (PRINT)	A3	Atualizado
1991-637X	AFRICAN JOURNAL OF AGRICULTURAL RESEARCH	B3	Atualizado
1996-0808	AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH	B3	Atualizado
0168-1923	AGRICULTURAL AND FOREST METEOROLOGY (PRINT)	A1	Atualizado
1682-1130	AGRICULTURAL ENGINEERING INTERNATIONAL: CIGR JOURNAL	B2	Atualizado
2471-6774	AGRICULTURAL RESEARCH AND TECHNOLOGY: OPEN ACCESS JOURNAL	B4	Atualizado
0378-3774	AGRICULTURAL WATER MANAGEMENT (PRINT)	A1	Atualizado
2077-0472	AGRICULTURE	A3	Atualizado
0167-8809	AGRICULTURE, ECOSYSTEMS & ENVIRONMENT (PRINT)	A1	Atualizado
2624-7402	AGRIENGINEERING	C	Atualizado
2526-7043	AGROMETEOROS	B4	Atualizado
2073-4395	AGRONOMY	A2	Atualizado
2673-2688	AI	C	Atualizado
2158-3226	AIP ADVANCES	A4	Atualizado
1178-6221	AIR, SOIL AND WATER RESEARCH	A4	Atualizado
1982-5153	ALEXANDRIA (UFSC)	A2	Atualizado
2317-5125	AMAZÔNIA - REVISTA DE EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICAS (ONLINE)	A2	Atualizado
1678-8621	AMBIENTE CONSTRUÍDO (ONLINE)	A3	Atualizado
2330-8753	AMERICAN JOURNAL OF APPLIED CHEMISTRY	C	Atualizado
0894-8275	AMERICAN JOURNAL OF DENTISTRY	B1	Atualizado
2320-0847	AMERICAN JOURNAL OF ENGINEERING RESEARCH	C	Atualizado
2166-4633	AMERICAN JOURNAL OF ENVIRONMENTAL ENGINEERING	C	Atualizado
2321-9114	AMERICAN JOURNAL OF ESSENTIAL OILS AND NATURAL PRODUCTS	C	Atualizado
0002-9505	AMERICAN JOURNAL OF PHYSICS	A3	Atualizado
0363-6143	AMERICAN JOURNAL OF PHYSIOLOGY. CELL PHYSIOLOGY	A1	Atualizado
0363-6135	AMERICAN JOURNAL OF PHYSIOLOGY. HEART AND CIRCULATORY PHYSIOLOGY	A1	Atualizado
0939-4451	AMINO ACIDS (WIEN. PRINT)	A2	Atualizado
0001-3765	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO)	A2	Atualizado
1678-2690	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE)	A2	Atualizado
1982-0267	ANAIS DO MUSEU PAULISTA	A1	Atualizado
2304-0106	ANALES DE LA ACADEMIA DE CIENCIAS DE CUBA  (AACC)	B4	Atualizado
0003-2654	ANALYST (LONDON. 1877. PRINT)	A1	Atualizado
0003-2670	ANALYTICA CHIMICA ACTA (PRINT)	A1	Atualizado
1618-2642	ANALYTICAL AND BIOANALYTICAL CHEMISTRY (PRINT)	A2	Atualizado
0003-2697	ANALYTICAL BIOCHEMISTRY (PRINT)	A2	Atualizado
0003-2700	ANALYTICAL CHEMISTRY (WASHINGTON)	A1	Atualizado
1759-9660	ANALYTICAL METHODS	A1	Atualizado
1759-9679	ANALYTICAL METHODS	A1	Atualizado
1433-7851	ANGEWANDTE CHEMIE (INTERNATIONAL ED. PRINT)	A1	Atualizado
0003-3804	ANNALEN DER PHYSIK (LEIPZIG)	A3	Atualizado
2108-6397	ANNALES DE LA FONDATION LOUIS DE BROGLIE	B1	Atualizado
1432-0576	ANNALES GEOPHYSICAE	A3	Atualizado
0992-7689	ANNALES GEOPHYSICAE (BERLIN)	A3	Atualizado
1424-0637	ANNALES HENRI POINCARÉ (PRINT)	A2	Atualizado
0373-3114	ANNALI DI MATEMATICA PURA ED APPLICATA	A2	Atualizado
2344-4916	ANNALS. FOOD SCIENCE AND TECHNOLOGY	C	Atualizado
1286-4560	ANNALS OF FOREST SCIENCE (PRINT)	A2	Atualizado
1593-5213	ANNALS OF GEOPHYSICS	A3	Atualizado
2110-5820	ANNALS OF INTENSIVE CARE	A1	Atualizado
2640-2300	ANNALS OF MARINE SCIENCE	C	Atualizado
0306-4549	ANNALS OF NUCLEAR ENERGY	A2	Atualizado
0974-2069	ANNALS OF PEDIATRIC CARDIOLOGY	B1	Atualizado
0003-4916	ANNALS OF PHYSICS (PRINT)	A2	Atualizado
0003-4967	ANNALS OF THE RHEUMATIC DISEASES	A1	Atualizado
0066-4146	ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS (PRINT)	A1	Atualizado
1947-5462	ANNUAL REVIEW OF CONDENSED MATTER PHYSICS	A1	Atualizado
2079-6382	ANTIBIOTICS-BASEL	A3	Atualizado
1871-5206	ANTI-CANCER AGENTS IN MEDICINAL CHEMISTRY	A2	Atualizado
1098-6596	ANTIMICROBIAL AGENTS AND CHEMOTHERAPY (ONLINE)	A1	Atualizado
0066-4804	ANTIMICROBIAL AGENTS AND CHEMOTHERAPY (PRINT)	A1	Atualizado
0166-3542	ANTIVIRAL RESEARCH	A2	Atualizado
0003-6072	ANTONIE VAN LEEUWENHOEK (GEDRUKT)	A4	Atualizado
0101-9759	ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (UFRJ. IMPRESSO)	B2	Atualizado
0843-6061	APEIRON (MONTREAL)	C	Atualizado
2166-532X	APL MATERIALS	A1	Atualizado
2378-0967	APL PHOTONICS	A2	Atualizado
2522-7971	APN SCIENCE BULLETIN	B2	Atualizado
0003-682X	APPLIED ACOUSTICS	A2	Atualizado
0099-2240	APPLIED AND ENVIRONMENTAL MICROBIOLOGY (PRINT)	A1	Atualizado
0926-860X	APPLIED CATALYSIS. A, GENERAL (PRINT)	A1	Atualizado
0926-3373	APPLIED CATALYSIS. B, ENVIRONMENTAL (PRINT)	A1	Atualizado
0169-1317	APPLIED CLAY SCIENCE (PRINT)	A1	Atualizado
2210-8327	APPLIED COMPUTING AND INFORMATICS	A1	Atualizado
0883-2927	APPLIED GEOCHEMISTRY	A2	Atualizado
0937-9347	APPLIED MAGNETIC RESONANCE	B2	Atualizado
2352-9407	APPLIED MATERIALS TODAY	A1	Atualizado
0096-3003	APPLIED MATHEMATICS AND COMPUTATION	A2	Atualizado
0175-7598	APPLIED MICROBIOLOGY AND BIOTECHNOLOGY	A2	Atualizado
2190-5509	APPLIED NANOSCIENCE	A2	Atualizado
2364-8228	APPLIED NETWORK SCIENCE	A3	Atualizado
0141-1187	APPLIED OCEAN RESEARCH	A2	Atualizado
1559-128X	APPLIED OPTICS	A3	Atualizado
0268-2605	APPLIED ORGANOMETALLIC CHEMISTRY	A2	Atualizado
1432-0630	APPLIED PHYSICS. A, MATERIALS SCIENCE & PROCESSING (INTERNET)	A3	Atualizado
